day,market-price,hash-rate,fees-usd-per-transaction
0,0,4.97102696296296e-08,0
1,0,0,0
2,0,5.26928858074074e-06,0
3,0,6.31320424296296e-06,0
4,0,5.91552208592593e-06,0
5,0,3.33058806518518e-06,0
6,0,5.12015777185185e-06,0
7,0,6.41262478222222e-06,0
8,0,6.11436316444444e-06,0
9,0,6.66117613037037e-06,0
10,0,5.8658118162963e-06,0
11,0,6.11436316444444e-06,0
12,0,6.36291451259259e-06,0
13,0,5.51783992888889e-06,0
14,0,5.07044750222222e-06,0
15,0,5.26928858074074e-06,0
16,0,5.56755019851852e-06,0
17,0,5.8658118162963e-06,0
18,0,6.46233505185185e-06,0
19,0,5.8658118162963e-06,0
20,0,5.21957831111111e-06,0
21,0,5.91552208592593e-06,0
22,0,5.31899885037037e-06,0
23,0,6.41262478222222e-06,0
24,0,4.92131669333333e-06,0
25,0,5.71668100740741e-06,0
26,0,5.71668100740741e-06,0
27,0,6.11436316444444e-06,0
28,0,6.06465289481481e-06,0
29,0,6.11436316444444e-06,0
30,0,5.66697073777778e-06,0
31,0,6.01494262518519e-06,0
32,0,5.91552208592593e-06,0
33,0,7.10856855703704e-06,0
34,0,4.97102696296296e-06,0
35,0,3.47971887407407e-07,0
36,0,6.2137837037037e-06,0
37,0,5.8658118162963e-06,0
38,0,1.93870051555556e-06,0
39,0,3.57913941333333e-06,0
40,0,4.5236345362963e-06,0
41,0,3.62884968296296e-06,0
42,0,4.17566264888889e-06,0
43,0,4.22537291851852e-06,0
44,0,2.53522375111111e-06,0
45,0,3.57913941333333e-06,0
46,0,4.5236345362963e-06,0
47,0,4.07624210962963e-06,0
48,0,3.57913941333333e-06,0
49,0,1.49130808888889e-07,0
50,0,3.43000860444444e-06,0
51,0,6.46233505185185e-07,0
52,0,6.95943774814815e-07,0
53,0,7.45654044444445e-07,0
54,0,3.67855995259259e-06,0
55,0,3.33058806518518e-06,0
56,0,1.69014916740741e-06,0
57,0,7.45654044444445e-07,0
58,0,5.96523235555555e-07,0
59,0,1.49130808888889e-06,0
60,0,4.67276534518518e-06,0
61,0,3.13174698666667e-06,0
62,0,3.28087779555556e-06,0
63,0,3.5294291437037e-06,0
64,0,2.88319563851852e-06,0
65,0,3.92711130074074e-06,0
66,0,4.07624210962963e-06,0
67,0,4.37450372740741e-06,0
68,0,3.72827022222222e-06,0
69,0,2.03812105481482e-06,0
70,0,3.82769076148148e-06,0
71,0,2.78377509925926e-06,0
72,0,3.1814572562963e-06,0
73,0,4.27508318814815e-06,0
74,0,3.23116752592593e-06,0
75,0,3.03232644740741e-06,0
76,0,2.83348536888889e-06,0
77,0,3.77798049185185e-06,0
78,0,3.43000860444444e-06,0
79,0,4.77218588444444e-06,0
80,0,3.62884968296296e-06,0
81,0,4.77218588444444e-06,0
82,0,3.72827022222222e-06,0
83,0,3.28087779555556e-06,0
84,0,2.58493402074074e-06,0
85,0,4.67276534518518e-06,0
86,0,5.16986804148148e-06,0
87,0,8.00335341037037e-06,0
88,0,9.29582042074074e-06,0
89,0,7.80451233185185e-06,0
90,0,8.15248421925926e-06,0
91,0,7.6442931234091e-06,0
92,0,9.29075625768183e-06,0
93,0,1.12312306659318e-05,0
94,0,1.02502484902837e-05,0
95,0,8.4337487578284e-06,0
96,0,9.73124856672508e-06,0
97,0,1.34980007194616e-05,0
98,0,1.20279214331836e-05,0
99,0,1.62376939347979e-05,0
100,0,1.87139403823172e-05,0
101,0,1.60921806186109e-05,0
102,0,2.32460914215077e-05,0
103,0,2.24921641321615e-05,0
104,0,3.15392916043158e-05,0
105,0,3.25176751436248e-05,0
106,0,2.78185891402109e-05,0
107,0,3.25176751436248e-05,0
108,0,3.28852291444466e-05,0
109,0,2.79299206432286e-05,0
110,0,2.99570923028178e-05,0
111,0,4.65217732310883e-05,0
112,0,3.9486773376631e-05,0
113,0,4.69756441894404e-05,0
114,0,5.02167758384825e-05,0
115,0,5.89895860753258e-05,0
116,0,8.43531550865232e-05,0
117,0,7.85222918316944e-05,0
118,0,7.96884644826601e-05,0
119,0,8.37744517822657e-05,0
120,0,9.9731490216983e-05,0
121,0,9.68820190679263e-05,0
122,0,9.64491901786208e-05,0
123,0,8.75068811554374e-05,0
124,0,7.66483630558576e-05,0
125,0,0.000107307708278201,0
126,0,0.000113064805519858,0
127,0,0.000124842389428177,0
128,0,0.000124746971748383,0
129,0,0.000129703805062888,0
130,0,0.000128877666177137,0
131,0,0.000138791332806148,0
132,0,0.00016935153872945,0
133,0,0.000136518077139047,0
134,0,0.000147750577156816,0
135,0,0.000153374207557116,0
136,0,0.00020064047277912,0
137,0,0.000169772707736179,0
138,0,0.000220799974472116,0
139,0,0.00167856925065505,0
140,0,0.00165149555306384,0
141,0,0.00182296230447484,0
142,0,0.00193125709483968,0
143,0,0.0021244834042325,0
144,0,0.00308353591242889,0
145,0,0.00281847061359461,0
146,0,0.0036237479317645,0.000146596858638743
147,0,0.00456907347918133,2.27138643067847e-10
148,0.07,0.00338357325016817,1.26316105263158e-05
149,0.07,0.00506263967506365,1.92926045016077e-06
150,0.07,0.00529160327845849,2.02454171779141e-05
151,0.07,0.00461732134494324,1.36674259681093e-11
152,0.06,0.00495819741738872,0
153,0.06,0.0046792988126606,7.36196319018405e-12
154,0.06,0.00574090721074621,0
155,0.09,0.00666228738037215,0
156,0.06,0.00958137886113681,1.22625e-06
157,0.06,0.00967263008838573,0
158,0.06,0.0108588960426217,3.80232558139535e-10
159,0.06,0.0102260252243218,0
160,0.06,0.00806282758071523,0
161,0.1,0.0100293708930848,8.62068965517241e-06
162,0.1,0.0115768636273677,0
163,0.11,0.0193176067628266,0
164,0.1,0.0248910297496032,0
165,0.18,0.0224339753108011,0.000750192307692308
166,0.19,0.0251046866573251,0
167,0.2,0.0258201005069688,0
168,0.25,0.0310455970381411,2.90528046024245e-05
169,0.32,0.0435221497768396,1.47133434804668e-05
170,0.3,0.0536698012792116,0
171,0.28,0.059307385447196,2.98701298701299e-05
172,0.29,0.0546168613375639,2.15623234439834e-05
173,0.28,0.0692951428220342,4.29333333333333e-05
174,0.28,0.0843295455223728,1.7664646310832e-05
175,0.26,0.0879436689019031,3.32014171656687e-05
